מקור,שאלה,תשובה 1,תשובה 2,תשובה 3,תשובה 4,תשובה 5,תשובה 6,תשובות נכונות,נושא,חשיבות לסדר,קישור לתמונה,הערות
שחזורים 2018 - מועד א',"על אי מסוים קיימים שני סוגים של עצי באובב, חלקם בעלי גזע מעט צהוב חלקם בעלי גזע מעט אדום. התחוללה סופת ברקים וחיסלה את רוב אוכלוסיית העצים באי. אילו מהמשפטים נכון?",שכיחות העצים תשתנה כתוצאה מסחף גנטי,שכיחות לא תשתנה,שכיחות עצים צהובים תעלה באופן דרמטי,.שכיחות עצים אדומים תעלה באופן דרמטי,האוכלוסיה תתקיים לפי שיווי משקל הארדי ויינברג,,1,Evolution and Genomics,FALSE,,
שחזורים 2018 - מועד א',מה ההבדל בין חיידקי גראם חיוביים לחידקיי גראם שליליים?,חיידקי גראם חיוביים הם בעלי שכבה פפטידוגליקן עבה וחסרי ממברנה חיצונית.,חיידקי גראם חיוביים טעונים חיובית וגראם שליליים טעונים שלילית,חיידקי גראם חיוביים עוברים סלקציה חיובית וחיידקי גראם שליליים עוברים סלקציה שלילית,חיידקי גראם חיוביים נצבעים אחרת מחיידקי גראם שליליים,א+ד,,5,The Diversity of Life,TRUE,,
שחזורים 2018 - מועד א',אילו מכניזמים מאפשרים העברה לטרלית של גנים (lateral gene transfer) בפרוקריוטים?,קוניוגציה (conjunction),טרנספורמציה (transformation),טרנסדוקציה (transduction),כל התשובות,,,4,The Diversity of Life,FALSE,,
שחזורים 2018 - מועד א',קשה למצוא תרופה או חיסון לנגיף הHIV. מה אינו מתאר את אחת הסיבות לכך?,הוירוס הופך לפרווירוס ומוחבא בגנום של המאחסן.,המעטפת החלבוית עוברת הרבה שינויים,"לוירוס יש אנזים רוורס טרנקריפטאז שפוגע ברנ""א התאי",קצב מוטציות גבוה,הוירוס פוגע בתאי מערכת החיסון,,3,The Diversity of Life,FALSE,,
שחזורים 2018 - מועד א',אנטיביוטיקה הינה... :,"מונעת התרבות של נגיפים וחיידקים ע""י עצירת ביטוי גנים",מונעת גדילה של חיידקים על ידי עיקוב חומרים הנמצאים רק בתאים חידקיים ולא בתאים אנושיים,"מונעת התרבות של נגיפים , בעקבות קצב מוטציה גבוהה, יפתחו הנגיפים עמידות",א+ג,ב+ג,א+ב,2,The Diversity of Life,TRUE,,
שחזורים 2018 - מועד א',מה סיכויי ההישרדות של אוכלוסייה בעלת מגוון גנטי קטן,סיכוי גבוה. יש סיכוי נמוך למוטציה.,סיכוי גבוה. כל הפריטים בעלי כשירות גבוהה.,סיכוי נמוך. בהינתן שינוי סביבתי יהיה זוכר את הסיבה)קשה לעשות אדפטציה.,"יש להן סיכוי נמוך לשרוד,היות ובהגדרה הן אינן בשיווי משקל הרדי ויינברג.",אין קשר בין מגוון גנטי לסיכויי הישרדות,,3,The Diversity of Life,FALSE,,
שחזורים 2018 - מועד א',,מיטוזה,מיוזה,קריוגמיה,פלסמוגמיה,ג+ד,,,The Diversity of Life,TRUE,,
שחזורים 2018 - מועד א',לאיזה סוג פטריות יש שלב דיקריוטי?,בסידיומיקוטה,בסידיומיקוטה ואסיומיקוטה,גלומרלוס,גלומרלוס וזיגומיקוטה,כלל הפטריות,,,The Diversity of Life,FALSE,,
שחזורים 2018 - מועד א',גלומרומיצטה יחודיים מבין הפטריות מפני ש:,יש להם דופן תא מבוסס כיתין,יש להם נבגים עם שוטון,הם יוצרים מיקוריזה ארבסקולרית,הם יוצרים זגוספורנגיום עמיד,הם יוצרים קורים קיאנוציטים,,3,The Diversity of Life,FALSE,,
שחזורים 2018 - מועד א',יש סוגי פטריות שעושות שיתוף פעולה סימביוזי (הדדי) עם:,בעלי חיים,צמחים,חיידקים,רק בעלי חיים וצמחים,כולם,,5,The Diversity of Life,FALSE,,
שחזורים 2018 - מועד א',"קודיום (codium) הוא אאוקריוט ימי פוטוסינטטי אשר יוצר פילמנטים קואנוציטיים (coenocytic filaments), כלומר אין דופן תא בין גרעינים שונים. דופן התא שלו מכיל צלולוז (cellulose) ופקטין (pectin) אבל לא כיטין (chitin). לאיזה קבוצה טקסונומית שייך הקודיום?+ ציור",פטריות,חיות,פרוטיסטים,צמחים,חואנופלגלטים (choanoflagallates),,,The Diversity of Life,FALSE,,
שחזורים 2018 - מועד א',באבולוציה של אאוקריוטים אילו מבין הבאים התרחש קודם:,אנדוסימביוזה ראשונית של פלסטיד,אנדוסימביוזה שניונית של פלסטיד,אנדוסימביוזה של מיטוכומדריה,,,,,The Diversity of Life,FALSE,,
שחזורים 2018 - מועד א',מהו מחזור החיים של פרוטיסטים?,הפלואידי,דיפלואידי,דיפלואידי שהופך להפלואידי ולהפך בדור הבא,א-מיני,א+ב+ג,,5,The Diversity of Life,TRUE,,
שחזורים 2018 - מועד ב',מהי שיטת הpcr ?,שיטה להגדלת כמות גדילי דנא ספציפי,שיטה לקריאת דנא,שיטה לתרגום רנא,,,,1,Evolution and Genomics,FALSE,,
שחזורים 2018 - מועד ב',משהו שקשור לטמפ' גבוהה בpcr; ולמה צריך אותה? (משהו שהתשובה שלו היתה שכדי לחבר פריימרים צריך טמפ' נמוכה יותר,,,,,,,,Evolution and Genomics,FALSE,,
שחזורים 2018 - מועד ב',מה מהבאים נחשב מטאגנומיקה?,ריצוף דנא של שימפנזה,ריצוף דנא של ליטר מי אוקיינוס,,,,,2,Evolution and Genomics,FALSE,,
שחזורים 2018 - מועד ב',"תמונה של שני גדילי דנא חתוכים עי אנזים רסטריקציה ושאלו ע""י מה נחתך",,,,,,,,Evolution and Genomics,FALSE,,
שחזורים 2018 - מועד ב',שאלה על איך הכי נכון לכתוב את השם של זבוב הפירות- אות גדולה במילה הראשונה; קטנה במילה השניה; וכתב אלכסוני,,,,,,,,Evolution and Genomics,FALSE,,
שחזורים 2018 - מועד ב',גרף שמראה קפיצה בכמות החמצן; מה גרם לקפיצה?,חידקים שעשו פוטוסינטזה,צמחים שעשו פוטוסינתזה,,,,,1,Evolution and Genomics,FALSE,,
שחזורים 2018 - מועד ב',שכיחות ההומוזיגוט הדומיננטי 36%; מה שכיחות בגן הרצסיבי?,,,,,,,,Evolution and Genomics,FALSE,,
שחזורים 2018 - מועד ב',גרף אחוזי תמותה של יתושים לאחר הדברה; מתחיל מ100% ולאחר כמה חודשים הופך ל20%; שואלים מה גרם לתופעה,סחיפה גנטית,הגעה של יתושים ממקומות שכנים,ברירה טבעית,,,,3,Evolution and Genomics,FALSE,,
שחזורים 2018 - מועד ב',מה מיחד את פטריית הchytrid?,נבג שוטון,קורים ללא חלוקה,,,,,1,The Diversity of Life,FALSE,,
שחזורים 2018 - מועד ב',איך הכי נכון לתאר את תהליך הפלסמוגמיה?,. שתפ בין פטריה לאצה,שתפ בין פטריה לפטריה,,,,,2,The Diversity of Life,FALSE,,
שחזורים 2018 - מועד ב',איך נקרא החלל המלא בנוזל בתוך הבלסטולה?,ארכנטרון,בלסטוצל,,,,,2,The Diversity of Life,FALSE,,
שחזורים 2018 - מועד ב',שאלה בסגנון הזה: במוטנט שנפגע בגן ממשפחת A אילו דורים יפגעו?,דור ראשון,דור שני,דור שלישי,דור רביעי,דור ראשון ושני,,,Evolution and Genomics,FALSE,,
שחזורים 2018 - מועד ב',מה מופיע בתמונה?,גבעול בחד פסיגי,גבעול בדו פסיגי,בשורש בחד פסיגי,בשורש בדו פסיגי,,,,Biology of Plants,FALSE,https://i.imgur.com/fJ5oczV.png,
שחזורים 2018 - מועד ב',כאשר מדגירים תא עם ψs= -04 במים מזוקקים מה נקבל?,ψs= -0.4 ו- ψp= 0.4,,,,,,,Biology of Plants,FALSE,,
שחזורים 2018 - מועד ב',משהו בסגנון: יש מוטנט stm שגורם לאי התפתחות של מריסטמה כאשר מוסיפים ציטוקינין ברקע המוטנט ניתן לראות שהצמח הוא בעל מריסטמה מה ההסבר הכי הגיוני?,הציטוקינין מדכא את השפעת ה-stm,הציטוקינין משרה את השפעת ה-stm,הציטוקינין מעודד השפעת STM,,,,,Biology of Plants,FALSE,,
שחזורים 2018 - מועד ב',מה נכון לגבי הדו חיים:,לא לכולם יש רגליים,הנשימה שלהם היא רק בעזרת הריאות,,,,,1,The Diversity of Life,FALSE,,
שחזורים 2018 - מועד ב',ציור של פרוטיסט,,,,,,,,The Diversity of Life,FALSE,,
שחזורים 2018 - מועד ב',צילום של גולגולת יונק; עם השאלה של מי הגולגולת:,דו חיים,זוחל,יונק,,,,,The Diversity of Life,FALSE,,
שחזורים 2018 - מועד ב',מה נכון לגבי פרוטיסטים?,כולם אאוקריוטים,הכל נכון,,,,,,The Diversity of Life,FALSE,,
שחזורים 2018 - מועד ב',מה נכון לגבי פטריות?,הן עושות פוטוסינתזה,כולן טפילות,הן הטרוקריוטיות,,,,3,The Diversity of Life,FALSE,,
שחזורים 2018 - מועד ב',יש עכבר העיר שהוא שמן וגדול ועכבר שקילומטר מהעיר קטן ורזה מביאים צאצאים עקרים,איך יודעים שהם ממינים שונים?,לא יכולים להביא צאצאים פורים,גרים במרחק קילומטר אחד מהשני,נראים אחרת,,,,Evolution and Genomics,FALSE,,
שחזורים 2018 - מועד ב',מה צריך לברירה טבעית?,מראה חיצוני שונה,שונות גנטית,,,,,,Evolution and Genomics,FALSE,,
שחזורים 2018 - מועד ב',איך נעשית גדילה משנית,גדילה אנטיקלינלית של העיצה פנימה והשיפה החוצה,גדילה פריקלינלית של עיצה פנימה ושיפה החוצה,,,,,,The Diversity of Life,FALSE,,
שחזורים 2018 - מועד ב',מהי אנדוסימביוזה שיונית?,,,,,,,,Biology of Plants,FALSE,,
שחזורים 2018 - מועד ב',על גבעול של צמח יום קצר שפורח ב8 שעות אור הרכיבו ניצן של צמח יום ארוך 16 שעות אור האירו 8 שעות,מה יקרה,יפרח מיד,כעבור שעה יפרח,כעבור שבוע יפרח,יפרח כשיאירו 16 שעות,,,Biology of Plants,FALSE,,
שחזורים 2018 - מועד ב',איזה אנזים גורם לפירוק האנדוספרם,אוקסין,ציטוקינין,ג'יברלין,,,,,Biology of Plants,FALSE,,
שחזורים 2018 - מועד ב',מה הכי נכון:,לצורבים 3 שכבות נבט,לספוגים 3 שכבות נבט,א- צלומט הם בעלי 3 שכבות נבט והאנדודרם והאקטודרם שלהם צמודות (משהו כזה.,,,,3,The Diversity of Life,FALSE,,
שחזורים 2018 - מועד ב',למי יש לארבת ( או מבנה? של לופופור?,,,,,,,,The Diversity of Life,FALSE,,
שחזורים 2018 - מועד ב',מה מהבאים לא מכיל חומר גנטי,וירוס,חידק,פריון,,,,3,The Diversity of Life,FALSE,,
שחזורים 2018 - מועד ב',מה נכון לגבי וירואידים,,,,,,,,The Diversity of Life,FALSE,,
שחזורים 2018 - מועד ב',בגרף רואים ירידה ברמות הCO2 באטמוספירה מה הסיבה העיקרית שגרמה לכך?,התפתחות הטחביים,התפתחות השרכיים,התפתחות הצמחים הפורחים,,,,2,Biology of Plants,FALSE,https://i.imgur.com/DWFHs9B.png,
שחזורים 2018 - מועד ב',"ראית צמח שבו הספורופיט גדל על הגמטופיט, והספורופיט הוא שלב קצר חיים לאיזה משפחה שייך הצמח?",טחבים,שרכניים,חשופי זרע,מכוסי זרע,,,2,Biology of Plants,FALSE,,
שחזורים 2018 - מועד ב',שאלה על דרווין ואוקסין,,,,,,,,Evolution and Genomics,FALSE,,
שחזורים 2018 - מועד ב',מהי גראונד טישיו,ממנה בין השאר מתפתחת הפרינכמה,,,,,,,Biology of Plants,FALSE,,
שחזורים 2018 - מועד ב',מה נוצר מהמריסטמה הקודקודית של הנצר?,נבט,פסיגים; עלים; גבעולים; מריסטמת תפרחת,עלים; גבעולים; מריסטמת תפרחת,,,,,Biology of Plants,FALSE,,
שחזורים 2018 - מועד ב',השלימו: האנדוספרם נוצר מ________ ומטענו הוא________,- הפריית גרגר האבקה עם תא הגרעין המרכזי; 3n.,,,,,,,Biology of Plants,FALSE,,
שחזורים 2018 - מועד ב',צמח צומח מתחת לחלוק אבן; איזה הורמון יעבוד ואיזו תגובה תתרחש? (משהו כזה,- אתילן; תגובה משולשת,-אוקסין; צמיחה לכיוון האור,,,,,,Biology of Plants,FALSE,,
שחזורים 2018 - מועד ב',לאיזו קבוצה אין שרירים ואין תאי עצב?,ספוגים,קווצי עור,לכולם יש שרירים ותאי עצב,,,,1,The Diversity of Life,FALSE,,
שחזורים 2018 - מועד ב',שאלה על מה נכון לגבי Pr ו-Pfr,,,,,,,,Biology of Plants,FALSE,,
שחזורים 2018 - מועד ב',היה עץ פילוגנטי ולבחור מבין האפשרויות עץ שזהה לו,,,,,,,,Evolution and Genomics,FALSE,,
שחזורים 2018 - מועד ב',מה משותף לכל צמחי היבשה?,בעלי פרחים,בעלי זרעים,בעלי עוברים,,,,,Biology of Plants,FALSE,,
שחזורים 2018 - מועד ב',מה גורם לכניסת הסוכר לשיפה? (משהו כזה,נשאים בתאי הלוואי,נשאים בתאי הכברה,,,,,,Biology of Plants,FALSE,,
שחזורים 2017 - מועד א',כיצד התא החיידקי מגן על הDNA שלו מפני אנזימי רסטריקציה?,"ע""י מודיפיקציות שמוסיפות מתיל","ע""י שימוש בligase DNA","ע""י הוספת היסטונים שיגנו על סליל ה-DNA כפול",. באמצעות יצירת קצוות דביקים של ה-DNA החיידקי שמונעים היקשרות של האנזים,,,1,Evolution and Genomics,FALSE,,
שחזורים 2017 - מועד א',ב-PCR נהוג להשתמש ב-polymerase taq .למה?,בגלל שהוא עמיד בטמפ' גבוהות,בגלל שיש לו את המשלים לpromoter,בגלל שהוא הפולימראז שמבצע את הפעולה הכי מהר הוא הכי מתאים,בגלל שצריך כמות מועטה ממנו למקטעי DNA רבים,,,1,Evolution and Genomics,FALSE,,
שחזורים 2017 - מועד א',איזה מהאנזימים הבאים קשור לייצור cDNA,DNA ligase,אנזימי רסטריקציה,Reverse Transcriptase,RNA polymerase,DNA polymerase,,3,Evolution and Genomics,FALSE,,
שחזורים 2017 - מועד א',"מקטע ה-DNA הבא נחתך באתרי רסטריקציה 1 ו-2 .לאחר החיתוך נוצרים מקטעי הDNA הבאים: C,B,A . כאשר נריץ את המקטעים בג'ל אלקטרופורזיס, איזה דגם ריצה בג'ל נצפה לקבל?",a,b,c,d,e - היה ציור של מקטע נוסף בו המרחק בין הגדילים היה שווה- טעות,,1,Evolution and Genomics,FALSE,https://i.ibb.co/k22fxsY/4.png,
שחזורים 2017 - מועד א',מהי מטגנומיקה של מין מסויים?,רצף של אחד או שני מינים מוצגים ממספר מינים,ריצוף של הגנים הכי שמורים בלבד בשושלת,ריצוף של דנא מקבוצה של מינים מאותה אקוסיסטמה,גנומיקה של מערכה שלמה,,,3,Evolution and Genomics,FALSE,,
שחזורים 2017 - מועד א',מהי ביואינפורמטיקה?,טכניקה לתמונות תלת ממד של גנים לנבא מתי מתבטאים.,כלים חישוביים לריצוף גנים,תוכנת חיפוש לרצפים של גנים,תוכנה להזמנת רצפי גנים,,,2,Evolution and Genomics,FALSE,,
שחזורים 2017 - מועד א',מי מהמסיחים הבאים אינו נכון:,מספר הרצפים החוזרניים והטרנספוזונים הקיימים אינו קשור לגודל/מורכבות הפרט,לאאוקריוט חד תאי לדוגמא שמר יש את כל הגנים לביצוע מטבוליזם מרכזי,אורגניזם חד תאי (חיידק או פרוטיסטה צריך לנהל את כל פונקציות החיים המורכבות כמו של אורגניזם רב תאי גדול,"תאי דם לבנים ותאי עצב ממלאים תפקיד שונה ויש כמות גנים/דנ""א זונה לכל אחד מהתאים",מספר הכרומוזומים בתאי יונק יכול להיות קטן ממספר הכרומוזומים בחיידק סטנדרטי,,5,Evolution and Genomics,FALSE,,
שחזורים 2017 - מועד א',"נלקחו דוגמיות מתא לחי של 6 סטודנטים. דנ""א שהופק נחתך באנזימי רסטריקציה ב 0 ,1 ,או 2 אזורים בגן מסוים, המטרה הסבירה ביותר לניסוי זה בהקשר למה שנלמד בכיתה הוא:",למצוא את מיקום הגן בגנום ההומני,לבודד את הכרומוזום עליו נמצא הגן,למצוא אילו אללים יש לסטודנטים,לאסוף אינפורמציה על האוכלוסייה שתשמש להערכת ברירה טבעית,לאסוף אינפורמציה על האוכלוסייה שתשמש למדידת סחף גנטי,,3,Evolution and Genomics,FALSE,,
שחזורים 2017 - מועד א',"איזה מהתנאים הבאים מונע לחלוטין את התרחשות הברירה הטבעית, באוכלוסייה לאורך זמן:",כאשר כל הוריאביליות (הודגש במבחן=השונות) בין הפרטים נובעות אך ורק מגורמים סביבתיים,גודל אוכלוסייה גדול,האוכלוסייה משתנה בקצב איטי יחסית,אוכלוסייה החיה בבית גידול ללא מתחרים,קצב מוטציות גדול במיוחד,,1,Evolution and Genomics,FALSE,,
שחזורים 2017 - מועד א',סמן את המשפט עליו הברירה הטבעית איננה מתבססת,שונות גנטית קיימת באוכלוסייה,הפרטים המותאמים ביותר משאירים יותר צאצאים,"פרטים ששורדים לאורך יותר זמן נוטים להשאיר יותר צאצאים מאותו פרט שמת בגיל
צעיר",אוכלוסיות נוטות לייצר יותר פרטים ממה שהסביבה יכולה לתמוך,הסתגלות לסביבה תורמת להתפתחות הפרטים באוכלוסייה,,5,Evolution and Genomics,FALSE,,
שחזורים 2017 - מועד א',.לפרטים של שני מינים שונים קיימים מבנים דומים שמשמשים אותם לביצוע אותן פונקציות. איזה אינפורמציה הכי תעזור כדי להבחין בין הומולוגיה לאבולוציה מתכנסת? ,. בתי הגידול מורחקים אחד מהשני,מצאו מאובנים של שני המינים באותו אזור,,,,,?,Evolution and Genomics,FALSE,,
שחזורים 2017 - מועד א',"במהלך חייו של אורגניזם, איך יסתגל בצורה טובה לשינויים סביבתיים?",מיקרו אבולוציה,שינוי בקצב המוטציות,ביטוי גנים,,,,3,Evolution and Genomics,FALSE,,
שחזורים 2017 - מועד א',.ציפור מסוג פרוש (finch (אשר נסחפה לגלאפגוס מדרום אמריקה והייתה שונה מבחינה גנטית מאוכלוסיית הוריה החיים בדרום אמריקה עוד לפניי ההסתגלות לגלאפגוס דוגמה ל:,סחף גנטי,ברירה טבעית,אפקט המייסדים,כל התשובות נכונות,. א ו-ג נכונות,,5,Evolution and Genomics,TRUE,,
שחזורים 2017 - מועד א',מה נכון לגבי הברירה הטבעית?,ברירה טבעית היא רנדומלית,"מוטציות מתרחשות בצורה רנדומלית. הברירה הטבעית תפיץ מוטציות שעוזרות
לשרידות.",מוטציות מתרחשות לכיוון טובת המין. הברירה הטבעית תעלים מוטציות רעות ותגדיל את השכיחות של הטובות,,,,2,Evolution and Genomics,FALSE,,
שחזורים 2017 - מועד א',"כשהפטריה שולחת את המיצליום (הודגש כי =תפטיר) לאזור בו נמצא אורגניזם מת, מה החומר הראשון שמגיע?",ספורות,אנזימים פטרייתיים,רמת חנקן גבוהה,,,,2,Evolution and Genomics,FALSE,,
שחזורים 2017 - מועד א',"ישר (תוקן ל-מיד) אחרי שמתרחש השלב הקריוגרמי, התאים בפטריות מקבוצת ה- :Basidiomycetes",. הפלואידים.,הטרוקריוטים.,דיקריוטים,דיפלואידים,רב גרעיניים.,,4,Evolution and Genomics,FALSE,,
שחזורים 2017 - מועד א',איזה מהבאים מספקת הפטריה לשותפים הפוטו סינטטיים: מיקוריזה וגם חזזית?,פחמימה,אנטיביוטיקה,חנקן מקובע, מים ומנירלים,הגנה מפני קרינת UV,,4,Evolution and Genomics,FALSE,,
שחזורים 2017 - מועד א',.מה נכון?,sister texa הם G+I,"I,H,G,F מהווים קבוצה פאראפילטית",C וE בעלות אב קדמון משותף ראשון בנק' 2,"קבוצות E,D,C הן מונופילטיות",אפשר להגיד בוודאות שפיצול 2 התרחש לפני פיצול 4,,?,Evolution and Genomics,FALSE,https://i.ibb.co/M52Tvy5/19.png,
שחזורים 2017 - מועד א',בנית עצים פילוגנטים בשיטה הקלדיסטית מסתמכים על תכונות:,פלייסומורפיות,תכונות קדומות של אב קדמון,תכונות חדשות ייחודיות לטקסון,תכונות חדשות שמשותפות לטקסונים,משתמשים בכל התכונות לבניית עץ פילוגנטים בשיטה הקלדיסטית,,4,Evolution and Genomics,FALSE,,
שחזורים 2017 - מועד א',אילו מהמחסומים הבאים מהווה מחסום פרה-זיגוטי?,,,,,,,,Evolution and Genomics,FALSE,,
שחזורים 2017 - מועד א',מה אינו נכון לגבי הגדרת מין ביולוגי?,ההגדרה נכונה לגבי בעלי חיים אבל לא לגבי צמחים,מתייחסת ליכולת של אוכלוסייה להזדווג עם הפרטים בה ולא עם אוכלוסיות אחרות,אי אפשר להשתמש בהגדרה על יצורים שמתרבים רבייה א מינית,לא ניתן להגדיר מאובנים באמצעות מין ביולוגי,,,1,Evolution and Genomics,FALSE,,
שחזורים 2017 - מועד א',מי מהבאים מתאר הכי נכון את תהליך ההתמיינות (speciation?,בידוד גיאוגרפי (isolation reproductive.(,פוליפלואידיות היא אחד המנגנונים שיכולים להוביל להתמיינות סיפטרית,"הזבוב pomanella. R שהחל להתפתח גם על תפוחים, מהווה דוגמה להתמיינות אלופטרית","""איזור היבריד"" מתאר אזור בו שני מינים נפגשים, שבינהם בידוד רבייתי.",התמיינות היא תהליך שתמיד קורה לאט ותוך שינויים גנטיים רבים.,,2,Evolution and Genomics,FALSE,,
שחזורים 2017 - מועד א',מה מהבאים היא לא תכונה סינאמורפית אצל מיתרנים?,זימים ליד הלוע,חוט עצבים בגב,לב,זנב מאחורי פי הטבעת,אף תשובה לא נכונה,,3,The Diversity of Life,FALSE,,
שחזורים 2017 - מועד א',מהו המשפט הנכון?,דגים הם קבוצה מונופילטית,דגים ודו חיים הם קבוצה מונופילטית,ציפורים הם טטרפודים וגם המניאוטים (הוסיפו במבחן- בעלי שפיר),זוחלים הם טטרפודים אך לא המניאוטים (הוסיפו במבחן- בעלי שפיר),,,3,The Diversity of Life,FALSE,,
שחזורים 2017 - מועד א',"חוקרים גילו זן ביערות הגשם בדרום אמריקה בעל 4 רגליים, עור חלק ולח, זנב, צבעים עזים ונראה מטיל ביצים במים. לאילו מהזנים יכול להשתייך?",אמניוטים,טטרפודס,זוחלים,דו חיים,ב+ד,,5,The Diversity of Life,TRUE,,
שחזורים 2017 - מועד א',מה מבדיל את הספוגים מכל בעלי החיים האחרים?,בעלי שתי שכבות תאים,חסרי רקמות אמיתיות,בעלי סימטריה רדיאלית,ישיבים,בעלי דופן תא,,2,The Diversity of Life,FALSE,,
שחזורים 2017 - מועד א',מה נכון לגבי התפתחות הצלום במערכת שניונית של בעלי חיים?,מחסרי צלום התפתחו בעלי הפסאודו-צלום ובעלי הצלום,אופן הופעת הצלום במהלך ההתפתחות העוברית שונה בין deuterostome ל protostome,,,,,2,The Diversity of Life,FALSE,,
שחזורים 2017 - מועד א',בעל החיים שבתמונה הוא? (תמונה של התולעת בלבד,בעל סימטריה מעגלית (רדיאלית),תועלת שטוחה,מיתרן,פסאודו-צלום,בעל מערכת עצבים מרכזית,,5,The Diversity of Life,FALSE,https://i.ibb.co/gJzbZkY/31.png,
שחזורים 2017 - מועד א',"איזה בע""ח הינו פסאודו-צלומט, מערכת עצבים מורכבת, מעטפת גוף קשיחה ומבצע חילוף גזים דרך העור? (צוינו גם שמות הקבוצות אליהן שייכים באנגלית)",תולעים נימיות,חלזון,כוכב ים,סרטן,אלמוג,,1,The Diversity of Life,FALSE,,
שחזורים 2017 - מועד א',"מדוע נחשבת מולקולת הרנ""א כזו שהתחילה את האבולוציה?","לרנ""א יש מטען גנטי","לא סביר שדנ""א היה הראשון מכיוון שקיום של דנ""א מחייב קיום חלבונים (כמו פולימראז), וקיום חלבונים מחייב קיום של דנ""א","רנ""א מולקולה קטליטית",. א+ב+ג נכונות,אף תשובה לא נכונה,,4,Evolution and Genomics,TRUE,,
