מקור,שאלה,תשובה 1,תשובה 2,תשובה 3,תשובה 4,תשובה 5,תשובה 6,תשובות נכונות,נושא,הערות
שחזורים - 2019 מועד א',מה מאפיין קשר כימי פולרי?,האלקטרושליליות בין האטומים דומה,האלקטרושליליות בין האטומים שונה,אין קשר בין פולריות לאלקטרושליליות,,,,2,,
שחזורים - 2019 מועד א',איזה מהקשרים נותן את התכונות הייחודיות (properties emerging) של המים?,קשרי מימן,קשרי פחמן,קשרים יוניים,קשרים קוולנטיים,,,1,,
שחזורים - 2019 מועד א',מהי קוהזיה?,אינטראקציה קוולנטית בין מולקולות דומות,אינטראקציה לא קוולנטית בין מולקולות דומות,אינטראקציה קוולנטית בין מולקולות שונות,אינטראקציה לא קוולנטית בין מולקולות שונות,,,2,,
שחזורים - 2019 מועד א',איזה היגד הוא נכון?,אננטיומרים הם סוג של איזומרים בעלי נקודת רתיחה זהה,אננטיומרים הם סוג של איזומרים בעלי נקודת רתיחה שונה,איזומרים הם אננטיומרים בעלי נקודת רתיחה זהה,איזומרים הם אננטיומרים בעלי נקודת רתיחה שונה,,,1,,
שחזורים - 2019 מועד א',מה מרכיב מעל 50 אחוז מנפח התא היבש?,מונומרים,דימרים,פולימרים,אננטיומרים,,,3,,
שחזורים - 2019 מועד א',מה מתרחש בתהליך הקשירה בין 2 חמצות אמינו?,הידרוליזה תוך יצירת קשר מימן,הידרוליזה תוך יצירת קשר יוני,הידרוליזה תוך יצירת קשר אסטרי,דה-הידרציה תוך יצירת קשר קוולנטי,,,4,,
שחזורים - 2019 מועד א',אילו קשרים מאפיינים את מולקולות המים כנוזל?,קשרי מימן לזמן קצר יחסית,קשרי מימן לזמן ארוך יחסית,קשרי ו.ד.ו לזמן קצר יחסית,קשרי ו.ד.ו לזמן ארוך יחסית,,,1,,
שחזורים - 2019 מועד א',מה מהבאים נכון לגבי מולקולות מים ותכונת קיבול החום הסגולי שלהן?,בעלות חום סגולי נמוך ולכן יש להשקיע הרבה אנרגיה כדי לגרום לעלייה בטמפרטורה,בעלות חום סגולי נמוך ולכן יש להשקיע מעט אנרגיה כדי לגרום לעלייה בטמפרטורה,בעלות חום סגולי גבוה ולכן יש להשקיע הרבה אנרגיה כדי לגרום לעלייה בטמפרטורה,בעלות חום סגולי גבוה ולכן יש להשקיע מעט אנרגיה כדי לגרום לעלייה בטמפרטורה,,,3,,
שחזורים - 2019 מועד א',לאילו מהצמחים בתנאים ממוזגים (26-23 צלסיוס) תהיה עדיפות?,C3,C4,אלו בעלי נקודת הקומפנסציה הגבוהה יותר,תשובות א' ו-ג',תשובות ב' ו-ג',,1,,
שחזורים - 2019 מועד א',"קרן אור באורך 690nm פוגעת בכלרופלסט, מה יקרה?",נוצרים ATP ו-NADPH מפוטוסטיסטם 1 שמקבלת גלי אור עד 700nm,נוצר גרדיאנט פרוטונים קטן יותר,האלקטרונים יקלטו בפוטוסיסטם 2 ויהיה גרדיאנט פרוטונים,לא נקלטים אלקטרונים מאורך גל גבוה מ680nm במרכז הריאקציה,"תלוי בסוג הצמח, אם הצמח C3 או C4",,2,,
שחזורים - 2019 מועד א',מערכת שאינה נמצאת בשיווי משקל כימי (equilibrium):,לא יכולה לבצע עבודה,אין לה אנרגיה קינטית,צורכת אנרגיה במצב יציב,משחררת אנרגיה בכדי להגיע למצב יציב,,,4,,
שחזורים - 2019 מועד א',דוגמא לאנרגיה קינטית שאינה אנרגיה פוטנציאלית:,חיפושית הזוחלת לקראת אוכל,מולקולת גלוקוז,מים נופלים במפלי הניאגרה,אור הנפלט מגחלילית,,,1,,
שחזורים - 2019 מועד א',מה מהבאים לא מתרחש במעגל קלווין?,חמצון של NADPH,שחזור של RuBP,שחרור של חמצן,יצירה של ATP,,,3,,
שחזורים - 2019 מועד א',"המשוואה הנתונה: C6H12O6 + 6O2 --> 6CO2 + 6H2O + Energy, מה נכון לגביה?",O2 מחוזר ו-CO2 מחומצן,O2 מחומצן ו-H2O מחוזר,CO2 מחוזר ו-O2 מחומצן,C6H12O6 מחומצן ו-O2 מחוזר,,,4,,
שחזורים - 2019 מועד א',מי מהמשפטים הבאים מתאר את הקשר בין פוטוסינתזה לנשימה תאית?,לנשימה יש את אותו מסלול ביולוגי כמו של פוטוסינתזה רק הפוך,"פוטוסינתזה קיימת רק בצמחים, נשימה תאית קיימת רק בחיות","נשימה תאית זה תהליך אנאבולי, פוטוסינתזה זה תהליך קטבולי","נשימה תאית משתמשת באנרגיה שאצורה במולקולה אורגנית, בעוד פוטוסינתזה אוגרת 
אנרגיה במולקולה אורגנית.",,,4,,
שחזורים - 2019 מועד א',מה נכון לגבי תאים פרוקריוטים?,יש להם ריבוזומים,יש להם ממברנה,יש להם ER,יש להם דופן,"תשובות א, ב ו-ד",אף תשובה אינה נכונה,5,,
שחזורים - 2019 מועד א',מה הדבר הקטן ביותר שניתן לראות במיקרוסקופ אור רגיל?,מיטוכנודריה,מיקרוטובולי,ריבוזום,מיקרופילמנט,,,1,,
שחזורים - 2019 מועד א',איפה נוצרים חלבונים מלבד בריבוזומים חופשיים וריבוזומים אשר קשורים לER?,מיטוכונדריה,גולג'י,תווך בין תאי,פריאוקסיזום,,,1,,
שחזורים - 2019 מועד א',מה היתרון בשימוש בpolymerase taq ב pcr?,יכול להיקשר לפריימר,כמות קטנה מספיקה להשלמת מחזור שלם בpcr,עמיד בטמפ גבוהות,נקשר הכי טוב להיבריד פריימר בdna יחסית לפולימראזות אחרות,,,3,,
שחזורים - 2019 מועד א',"a יון, b מולקולה פולארית גדולה, c חומר הידרופובי, מה נכון לגביהם? (בהמשך המבחן
הוסיפו שיובהר כי מדובר במעבר פאסיבי)",a לא חודר את ממברנת התא אך חודר את הממברנה er,b חודר את ממברנת התא אבל לא את הer,c חודר את הממברנה אך לא את הer,c חודר את ממברנת התא וגם את הer,,,4,,
שחזורים - 2019 מועד א',"X-חומר הידרופילי שחודר לתא בפינוציטוזיס, Z -רצפטור חוצה ממברנה מיוצר בer וממוקם
על הליזוזום. Y -חלק משלד התא. איזה מפגש עשוי להתרחש:",מפגש בין X לבין החלק של Z שפונה לציטוזול,מפגש בין X לציטוזול,מפגש בין Y לחלק של Z שפונה לציטוזול,מפגש בין Y לחלק של Z שלא פונה לציטוזול,,,3,,
שחזורים - 2019 מועד א',"להשלים משפט: ___ היא דרך של התא להכניס חלקיק גדול (חיידק למשל) והיא ___
אנרגיה.","דיפוזיה, דורשת","פינוציטוזיס, דורשת","פאגוציטוזיס, לא דורשת","אנדוציטוזיס מתווכת קולטנים, דורשת","פאגוציטוזיס, דורשת",,5,,
שחזורים - 2019 מועד א',"אורגניזם חד תאי חי בסביבה קרה ורוצה למנוע פלואידיות יתר של הממברנה שלו כאשר
הוא עובר לסביבה חמה יותר, המנגנון שישתמש בו:",חומצות שומן ארוכות יותר,הגברת קשרים כפולים בחומצות השומן שבפוספוליפידים,היעדר כולסטרול בממברנה,"הוספת מטען ל""ראשים"" ההידרופיליים",,,1,,
שחזורים - 2019 מועד א',מהי אוסמוזה?,מעבר של מומסים נגד מפל הריכוזים,מעבר של מומסים בכיוון מפל הריכוזים,מעבר של מים המושפע מריכוז המומסים,,,,3,,
שחזורים - 2019 מועד א',מה מאפיין את הפעולה של ה pump+ K+\Na?,האפיניות )זיקה( ליוני Na + הינה גבוהה ביותר לאחר זרחון המשאבה,האפיניות ליוני K +היא גבוהה יותר לאחר זרחון המשאבה,המשאבה מעבירה את אותה כמות של יונים לשני צידיי הממברנה,"שחרור יוני Na +למרחב החוץ תאי מתרחש בעקבות הריכוז הנמוך יותר של יום במרחב 
זה )ביחס לפנים התא(",,,2,,
שחזורים - 2019 מועד א',"חוקרת טיפלה בתא בחומר YY. בדקה את ההשפעה על מסלול העברת אותות מתווך חלבון
g ואדנלין ציקלאז. נרשמה הגברת תהליך העברת אותות בתא. למה גרם החומר?",מניעת הפיכת cAMP ל AMP,מניעת הפיכת AMP לATP,מניעת הפיכת GDP לGTP,הגברת הידרוליזה של GTP לGDP,מניעת הפעילות של A Kinase Protein,,1,,
שחזורים - 2019 מועד א',"מתי מתרחש שינוי ברצף של הכרומוזומים? (למשל שינוי בכרומוזום מספר 10 שמקורו
מהאמא)",אנאפאזה במיוזה בלבד,פרופאזה 1 ו2 במיוזה,מטאפזה 1 במיוזה בלבד,פרופאזה 1 במיוזה בלבד,מטאפאזה במיוזה ומיטוזה,,4,,
שחזורים - 2019 מועד א',מי מהחלבונים הבאים יהיה מעורב במעבר דרך נקודת הpoint Check S/G1?,חלבון הבודק חיבור של כרומוזומים למיקרטובולי,חלבון המוודא שכפול צנטרוזומים,"חלבון שפעילותו מושפעת מחוסר דיוק בשכפול הדנ""א",חלבון שמגיב לקישור פקטור גידול אל הקולטן שלו,חלבון שמפרק את ממבראנת הגרעין,,4,,
שחזורים - 2019 מועד א',מה מאפיין חלבוני ציקלין?,הם kinases,הם phosphatases,רמת הביטוי שלהם זהה לאורך כל מחזור התא,הם מפרקים חלבוני CDK,הם משנים את הקונפורמציה של חלבוני CDK,,5,,
שחזורים - 2019 מועד א',מיהו הסובסטרט של האנזים C phospholipase?,הפוספוליפיד PIP2,IP3,חלבון G,GTP,הקולטן המצומד לחלבון G( GPCR),,1,,
שחזורים - 2019 מועד א',מה לא מאפיין אפופטוזיס?,מוות תאי,שפיכת תוכן הציטוזול לחלל הבין תאי,חלבונים יעודיים אשר חותכים חלבונים אחרים,תהליך עוברי תקין,,,2,,
שחזורים - 2019 מועד א',"למה הצאצאים בדור F1 בניסוי של מנדל, היו רק סגולים ולא לבנים, או ערבוב?",כי זה הוא האלל הדומיננטי,בגלל תופעת האפוסמוסיס,,,,,1,,
שחזורים - 2019 מועד א',מה יש בתאים פרוקריוטיים שאין באאוקריוטיים?,אלונגציה בתרגום,צימוד בין שיעתוק לתרגום,שיחבור אחרי שיעתוק,שיכפול לא רציף של אחד הגדילים,,,2,,
שחזורים - 2019 מועד א',אילו מהמקרים הבאים זה דוגמה להורשה שתלוייה בכמה גנים (phylogenetic inheritance),צבע אפון )צהוב או ירוק(,אנמיה חרמשית,סוג דם בבני אדם,צבע עור,,,4,,
שחזורים - 2019 מועד א',"הארכה של גדילי דנ""א היא תמיד מכיוון 5 'ל-3. הסיבה לכך היא: _____","רק רנ""א פולימרז יודע להוסיף נוקלאוטידים ל-5'","דנ""א פולימרז חייב להשתמש בפריימר של רנ""א",מזלג החלוקה לא אותו הדבר עם סכין החלוקה?)משהו הזוי כזה...(,"דנ""א פולימרז יודע להוסיף נוקלאוטידים ל-3'",,,4,,
שחזורים - 2019 מועד א',"בניסוי הזבובים של תומאס ה. מורגן, כשהכליא את הזבובים בעלי העיניים האדומות ב-F1
זה לזו, התקבלו גם זבובי F2 בעלי עיניים אדומות וגם בעלי עיניים לבנות. תוצאות הניסוי
הראו שכל הזבובים בעליעיניים לבנות היו זכרים. מה היה ההסבר שהציע לכך?",הגן המעורב נמצא על כרומוזום X,הגן המעורב נמצא על כרומוזום Y,זכרים מפרישים הורמונים זכריים שמשפיעים על שינוי צבע העין,"הגן המוערב נמצא על אוטוזום)כרומוזום שאינו כ. מין(, אבל רק בנקבות",,,1,,
שחזורים - 2019 מועד א',שאלו מה נכון לגבי tRNA שמגיע לריבוזום כשהוא טעון בחומצה אמינית,הוא מגיע קודם כל לA,מגיע לP ואז לA,,,,,1,,
שחזורים - 2019 מועד א',מה גילו בניסוי המפורסם של מתיו מסלסון ופרנקלין שטאל?,ביצעו ניסוי בו גילו כי שכפול דנא מתבצע בשיטה הסמי קונסרביטיבית,היו קונסרבטיבים שלא המשיכו בניסוי עקב שמרנותם,גילו שהדנא דיספרסיבי,,,,1,,
שחזורים - 2019 מועד א',מהו פרומוטור?,רצף נוקלאוטידים שמקדם שכפול דנא,מדען בעל ידע רב שמפיץ את הידע הביולוגי,רצף קצר של דנא שמוביל לשכפול דנא בעזרת דנא פולימראז,רצף נוקלאוטידים אליו מתחבר רנא פולימראז,,,4,,
שחזורים - 2019 מועד א',סמנו את הסעיף הנכון בנוגע לתכונה דומיננטית:,מועדפת יותר על בני הזוג,מאפשרת שינויים אבולוציוניים מהירים יותר,עדיפה עקב הימצאות יותר נוקלאוטידים g-c שיוצרים קשרים חזקים יותר,אף תשובה אינה נכונה,,,4,,
שחזורים - 2019 מועד א',מה לא נכון בנוגע לקודון AUG?,משמש כcodon start,מקודד לחומצה האמינית מתיונין,יכול להופיע מספר פעמים ברצף הגני,משמש כcodon stop,,,4,,
שחזורים - 2018 מועד א',איך יודעים שהמקור של כל הצאצאים הוא מאב קדום משותף?,מבנה כלורופלסטים,מבנה גרעין,ריסים,לכולם יש DNA שמורכב מאותו קוד גנטי,,,3,,
שחזורים - 2018 מועד א',מה מאפיין כל היפותזה מדעית טובה,ניתן לבחון אותה,ניתן להפריכה,ניתן לענות עליה תשובה מספרית,ניסוי הבוחן אותה מוביל בהכרח לתוצאות שניתן לחזור עליהן,,,,,
שחזורים - 2018 מועד א',אילו יסודות מרכיבים 96% מהיצורים החיים,נתרן חנקן פחמן ומימן,פחמן מימן חמצן וחנקן,,,,,2,כימיה של החיים,
שחזורים - 2018 מועד א',מהם הקשרים החשובים ביותר לתכונות הייחודיות של המים,קשרי מימן,קשרי ואן דר ואלס,קשרים יונים,קשרי פחמן,,,1,כימיה של החיים,
שחזורים - 2018 מועד א',התהליך אשר מתקיים בין שתי חומצות אמינו ליצירת קשר פפטידי הוא:,הידרוליזה לצורך יצירת קשר קוולנטי,הידרוליזה לצורך יצירת קשר יוני,הידרוליזה לצורך ישירת קשר אסטרי,דהידרציה לצורך יצירת קשר קוולנטי,,,4,כימיה של החיים,
שחזורים - 2018 מועד א',מה היא קוהזיה?,אינטרקציה בין מולקולות דומות שהקשר ביניהן לא קוולנטי.,איטרקציה בין מולקולות דומות שהקשר ביניהן הוא קוולנטי.,אינטרקציה בין מולקוחות שונות שהקשר ביניהן לא קוונלטי.,אינטרקציה בין מולקולות שונות שהקשר ביניהן קוולנטי.,,,1,כימיה של החיים,
שחזורים - 2018 מועד א',מולקולת מים יכול ליצור,עד 4 קשרי מימן עם מולקולות מים אחרות,עד 3 קשרי מימן עם מולקולות מים אחרות,עד 4 קשרים קוולנטים עם מולקולות מים אחרות,עד 3 קשרים קוולנטים עם מולקולות מים אחרות,,,1,כימיה של החיים,
שחזורים - 2018 מועד א',מולקולות מים הן:,בעלות חום סגולי גבוה ולכן בטמפרטורות נמוכות יחסית תיהיה עליה גדולה בטמפרטורה,בעלות חום סגולי גבוה ולכן בטמפרטורות נמוכות יחסית תיהיה עליה קטנה בטמפרטורה,בעלות חום סגולי נמוך ולכן בטמפרטורות גבוהות יחסית תיהיה עליה גדולה בטמפרטורה,בעלות חום סגולי נמוך ולכן בטמפרטורות גבוהות יחסית תיהיה עליה נמוכה בטמפרטורה,,,2,כימיה של החיים,
שחזורים - 2018 מועד א',מה מהווה 50% מהתא החי היבש?,חלבונים,פחמימות,שומנים,חומצות גרעין,,,1,כימיה של החיים,
שחזורים - 2018 מועד א',גליקוגן הוא פולימר של:,חומצות אמינו,חומצות שומן,חומצות גופרית,סוכרים,,,4,כימיה של החיים,
שחזורים - 2018 מועד א',מה מייצג אנרגיה פוטנציאלית ולא אנרגיה קינטית?,צב זוחל,אנזים הקסוקינאז,מפל מים,אור של גחלילית,,,2,כימיה של החיים,
שחזורים - 2018 מועד א',מה ניתן לומר על צמחי C3 לעומת צמחי C4?,נק' הקומפנסציה שלהן שווה,נק' הקומפנסציה של C3 גבוהה מ-C4,נק' הקומפנסציה של C4 גבוהה מ-C3,צמחי C4 יתחילו לקבע CO2 בריכוזים יותר גבוהים של CO2,צמחי C3 צורכים יותר אנרגיה לקיבוע ה-CO2 מאשר צמחי C4 כי אין להם אנזים PEP,תשובות ב'+ד',3,כימיה של החיים,
שחזורים - 2018 מועד א',מהי הטכניקה הרצויה לצפייה בכרומוזמים בתנועה?,מיקרוסקופ אור,מיקרוסקופ אלקטרוני SEM,מיקרוסקופ אלקטרוני TEM,א-ג נכונים,אף תשוב לא נכונה,,1,,
שחזורים - 2018 מועד א',מה נמצא בתאים פרוקריוטים?,ריבוזומים,כלורופלסט,מיטוכונדירה,ER,כלורופלסט רק בתאים ציאובקטריים שמבצעים פוטוסינטזה,,1,ביולוגיה של התא,
שחזורים - 2018 מועד א',תא שיש בו הרבה ריבוזומים מתמחה בייצור:,חלבונים,סוכרים,ליפידים,חומצות גרעין,,,1,ביולוגיה של התא,
שחזורים - 2018 מועד א',Cytochalasin Dהוא אנזים שפוגע ביצור סיבי אקטין. מה מהבאים עדיין יוכל להתרחש אם מישהו יטופל בתרופה זו?,ציטוקינזה,רדיפת נויטרופיל אחרי חיידק,מעבר של וזיקולה מה- ER לגולג'י,תנועת כיווץ שרירים.,,,,,
שחזורים - 2018 מועד א',מה מגביל את גודל התא,מספר החלבונים בממברנת התא,יחס גודל המיטוכונדריה- לגודל התא,יחס שטח פנים לנפח,כמות הקשרים בין הציטוסקלטון לממבראנה,,,2,ביולוגיה של התא,
שחזורים - 2018 מועד א',מה נבדק בM CHECKPOINT במיטוזה?,המצאות סיגנאל מ growth factor,כמות נוטריינטים,שלמות הDNA המשוכפל,דיוק הDNA המשוכפל,חיבור הכרומטידות האחיות אל ה kinetochore microtubules,,5,ביולוגיה של התא,
שחזורים - 2018 מועד א',מה יתרום לפלואידיות של הממבראנה של תא אם יועבר לסביבה בה הטמפ' נמוכה?,הפחתת קשרים כפולים בחומצות שומן שמרכיבות את הממבראנה,הגדלת ריכוז הכולסטרול בממבראנה,הוספת קבוצות טעונות לראשים של הפוספוליפידים,הגדלת אורך חומצות השומן-שיהיו יותר ארוכות,,,,ביולוגיה של התא,
שחזורים - 2018 מועד א',.מה ההבדל בין ERM לPM,PM דו שכבתית וERM לא,הוזיקולות נעשות רק בPM,הרכב החלבונים שמרכיב אותם,לPM יש תנועהXX ולERM אין תנועה כזו,,,,,
שחזורים - 2018 מועד א',למה בניסיו של מנדל דור הF1 תמיד הציג את אחד משני הפנוטיפים שהראה אחד מההורים ?,הגנים לא עברו אינטראקציה,לכל אחד מהאללים היתה השפעה פנוטיפית,אלל אחד היה דומיננטי,הגנים התערבבו בזמן ההפריה,,,3,גנטיקה,
שחזורים - 2018 מועד א',איזה תהליך קורה בפרוקריוטים ולא באוקריוטים,טלפורטציה,שחבור,צמוד בין שעתוק לתרגום,,,,,,
שחזורים - 2018 מועד א',מה מסביר את התופעה של מחלות מרובות גברים בלבד?,הורמונים נשיים מפצים על פגמים אפשריים,יש להם כרומוזום X אחד,,,,,2,גנטיקה,
שחזורים - 2018 מועד א',איזה מההבאות מבטאת פוליגניות,צבע עור,מורפולוגיה של אפונים (אפון מקומט או אפון עגול),2 צבעים בפרח,בעלי סוג דם ABO,,,1,גנטיקה,
שחזורים - 2018 מועד א',בניסוי הזבובים של מורגן התקבלו צאצאים בדור F1 עם עיניים אדומות ורק לזכרים עיניים לבנות. מה אפשר ללמוד מכן?,הגן מקושר לכרומוזום Y,הגן הינו אוטוטרופי,הגן מצומד לכרומוזום X,הגן הינו גן דומיננטי אבל משפיע רק על זכרים,,,,גנטיקה,
שחזורים - 2018 מועד א',אלל דומיננטי הוא,נפוץ בקרב האוכלוסיה,מזרז את האבולוציה,"בנוי אחרת, מכיל יותר נואקלאוטידים של c ו g ולכן יותר חזק",אף אחת מהתשובות,,,,גנטיקה,
שחזורים - 2018 מועד א',tRNA שמגיע לריבוזום כשאליו קשורה חומצת אמינו,נכנס לa,עובר מp לe,"tRNA בכלל לא מגיע עם חומצת אמינו קשורה, הוא קושר אותה במפגש עם mRNA",הוא מתפרק לבסיסיו על מנת שלא יפריע לפעולה ויתקע אותה,,,,ביולוגיה של התא,
